text,class
JIM KARAG PERSONAL TRAINING,health_pcare
New Look LASER MEDICAL,health_pcare
U RICE,rest_drink
CIRCLE SUSHI & GRILL Dine in Carry out Delivery,rest_drink
ALDO,fashion
Bench. FACTORY STORE,fashion
carter's,fashion
Bank of America,finance_investing
SPACES.,other
The Tile Shop,other
veruca chocolates,rest_drink
West Marine,other
BALLOONS DECORATIONS PARTY RENTALS Doolin's PARTY SUPPLIES,other
HAYMARKET PUB & BREWERY CRAFT BEER & FOOD,rest_drink
ealthy Spa,health_pcare
GREEN SPA WALK BACK DEEP TISSUE FOOT MASSAGE BODY MASSAGE COUPLE MASSAGE WALK IN WELCOME,health_pcare
FIFTH THIRD BANK,finance_investing
Spectrum bar& gril,rest_drink
Bar Louie,rest_drink
Kristoffer's Cafe & Bakery Pasteleria,rest_drink
Mangia Fresca Italian Eatery,rest_drink
Couple Relax Spa,health_pcare
"RDR REALTY, INC.",other
Range,rest_drink
strand,health_pcare
FLORIOLE CAFE & BAKERY,rest_drink
DERBY BAR & GRILL,rest_drink
Potbelly SANDWICH SHOP,rest_drink
LATE NIGHT DINING & COCKTAILS PEQUOD'S PIZZA DELIVERY,rest_drink
RAW Sushi bar Japanese and Thai cuisines,rest_drink
BEE'S NAILS AND WAXING,health_pcare
JIMMY JOHN'S,rest_drink
Edible Arrangements,food_beverage
Cynthia's Consignments,other
LINCOLN PARK IMPORT SERVICE,other
Animal Lovers Pet Salon,other
Heron Agency,other
CAIRO KEBAB,rest_drink
INKFIX TATTOO,health_pcare
BAY USED BOOKS,other
THREADING POINT,health_pcare
PRINTS-POSTERS.com CONTEMPORARY PRINTS FRAMING VINTAGE POSTERS,fashion
IRON LOTUS,rest_drink
Impressions dental,health_pcare
ONE FOUR ONE FIVE,rest_drink
bristle + grace A LINCOLN PARK SALON,health_pcare
WHITE TIGER MARTIAL ARTS TAKEWONDOO & KRAV MAGA,other
CASHMONEY PAYDAY ADVANCE CHEQUE CASHING,finance_investing
Hot & Fresh pizza pizza,rest_drink
pizza pizza,rest_drink
CHICAGO COSTUME,fashion
Bzah 's Sandwich Shop,rest_drink
CVS/pharmacy,health_pcare
Chicago's DOG HOUSE,rest_drink
mb financial bank,finance_investing
SUBWAY,rest_drink
tea & bloom Butter Tarts  Available Here,rest_drink
tea & bloom,rest_drink
ELM NEWS,other
new balance,fashion
GUS New Quality Shoe Repair ,fashion
CA$H 4 YOU,finance_investing
payday loans cheques cashed,finance_investing
WESTERN UNION WU,finance_investing
Bodywork & Day Spa,health_pcare
flow yoga,health_pcare
yoberri,rest_drink
A MATTER OF SIGHT EYE CARE SPECIALIST,health_pcare
STEPHANIE'S CLEANERS & TAILOR,fashion
Essential NailSpa,health_pcare
Riccardo Enoteca WINE BAR PIZZERIA,rest_drink
Nail Lincoln Park Spa,health_pcare
Vanille patisserie,rest_drink
STARBUCKS COFFEE,rest_drink
MARTINIZING GREEN CLEANING,other
PNC BANK,finance_investing
DUNKIN' DONUTS BR baskin robbins,rest_drink
family dental health,health_pcare
SuNNy Side Up restaurant,rest_drink
SUPERIOR WINE & LIQUOR WE DELIVER,food_beverage
T Mobile,technology
ROCKS RIVER NORTH WHISKEY. BEER. COCKTAILS. ,rest_drink
italian table,rest_drink
PORTILLO'S HOT DOGS,rest_drink
BUB CITY,rest_drink
WIN RUST,food_beverage
FIFTH THIRD BANK,finance_investing
FIFTH THIRD BANK,finance_investing
walgreens,health_pcare
PHARMACY,health_pcare
HEALTH CENTRE Serving Sudbury Since 1988,health_pcare
NATIVE FOODS CAFE,rest_drink
AmeriCash Loans WE'RE OPEN,finance_investing
AIR TEC WIRELESS AUTHORIZED DEALERS SALES SERVICE PARTS ACCESSORIES UNLOCKING,technology
MICKY'S CHICKEN & FISH KING OF FRIED WINGS & CHICKEN FINGERS JUMBO CHICKEN WINGS JUMBO CHICKEN FINGERS MAXWELL POLISH PERCH SEA FOOD SHRIMPS CHOP STEAKS SANDWICHES,rest_drink
5 STAR DINE-IN CARRY OUT DELIVERY CATERING INDIAN & PAKISTANI CUISINE,rest_drink
ROYAL PAWN SHOP FAST CASH LOANS,finance_investing
ROYAL PAWN SHOP WE LOAN OR BUY GOLD DIAMONDS WATCHES COINS STEREOS CAMERAS TV MUSICAL INSTRUMENTS,finance_investing
COCO'S sea food & soul food Famous Deep Fried Lobster,rest_drink
Meet Fresh Exquiste teas treats desserts,rest_drink
CIBC Banking Centre,finance_investing
Relax Massage,health_pcare
